exerciseId,patternId,exerciseName,imageFilename,imageURL,key,mode,rhythm,articulation,dynamic,timeSignature,direction,description,patternType
0,0,G Major Whole Note Long Tone Fermata Pattern 0,0_g_major_whole_note_long_tone_fermata_Pattern_0.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/0_g_major_whole_note_long_tone_fermata_Pattern_0.cropped.png,g,major,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note for as long as you can. Make sure it has a clean ending!,long_tone
1,1,G Major Whole Note Long Tone Fermata Pattern 1,1_g_major_whole_note_long_tone_fermata_Pattern_1.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/1_g_major_whole_note_long_tone_fermata_Pattern_1.cropped.png,g,major,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note for as long as you can. Make sure it has a clean ending!,long_tone
2,2,G Major Quarter-Note Rhythm Pattern 2,2_g_major_quarter-note_rhythm_Pattern_2.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/2_g_major_quarter-note_rhythm_Pattern_2.cropped.png,g,major,quarter-note,[],,"(4, 4)",,Play both notes evenly and in time.,rhythm
3,3,G Major Quarter-Note Rhythm Pattern 3,3_g_major_quarter-note_rhythm_Pattern_3.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/3_g_major_quarter-note_rhythm_Pattern_3.cropped.png,g,major,quarter-note,[],,"(4, 4)",,Play the notes evenly and precisely.,rhythm
4,4,G Major Quarter-Note Rhythm Pattern 4,4_g_major_quarter-note_rhythm_Pattern_4.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/4_g_major_quarter-note_rhythm_Pattern_4.cropped.png,g,major,quarter-note,[],,"(4, 4)",,"Quick, precise finger movement.",rhythm
5,5,G Major Quarter-Note Rhythm Pattern 5,5_g_major_quarter-note_rhythm_Pattern_5.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/5_g_major_quarter-note_rhythm_Pattern_5.cropped.png,g,major,quarter-note,[],,"(4, 4)",,Play all notes with the same tone.,rhythm
6,6,G Major Whole Note Long Tone Pattern 6,6_g_major_whole_note_long_tone_Pattern_6.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/6_g_major_whole_note_long_tone_Pattern_6.cropped.png,g,major,whole_note,[],,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
7,7,G Major Quarter-Note Interval Pattern 7,7_g_major_quarter-note_interval_Pattern_7.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/7_g_major_quarter-note_interval_Pattern_7.cropped.png,g,major,quarter-note,[],,"(4, 4)",,Quick and precise finger movement.,interval
8,8,G Major Whole Note Long Tone Fermata Pattern 8,8_g_major_whole_note_long_tone_fermata_Pattern_8.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/8_g_major_whole_note_long_tone_fermata_Pattern_8.cropped.png,g,major,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
9,9,G Major Quarter Note Scale Pattern 9,9_g_major_quarter_note_scale_Pattern_9.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/9_g_major_quarter_note_scale_Pattern_9.cropped.png,g,major,quarter_note,[],,"(4, 4)",,Play all notes evenly. Look ahead to the next note.,scale
